Time,HandRoleL.x,HandRoleL.y,HandRoleL.z,ThumbPosL1.x,ThumbPosL1.y,ThumbPosL1.z,ThumbPosL2.x,ThumbPosL2.y,ThumbPosL2.z,ThumbPosL3.x,ThumbPosL3.y,ThumbPosL3.z,ThumbPosL4.x,ThumbPosL4.y,ThumbPosL4.z,IndexPosL1.x,IndexPosL1.y,IndexPosL1.z,IndexPosL2.x,IndexPosL2.y,IndexPosL2.z,IndexPosL3.x,IndexPosL3.y,IndexPosL3.z,IndexPosL4.x,IndexPosL4.y,IndexPosL4.z,MiddlePosL1.x,MiddlePosL1.y,MiddlePosL1.z,MiddlePosL2.x,MiddlePosL2.y,MiddlePosL2.z,MiddlePosL3.x,MiddlePosL3.y,MiddlePosL3.z,MiddlePosL4.x,MiddlePosL4.y,MiddlePosL4.z,RingPosL1.x,RingPosL1.y,RingPosL1.z,RingPosL2.x,RingPosL2.y,RingPosL2.z,RingPosL3.x,RingPosL3.y,RingPosL3.z,RingPosL4.x,RingPosL4.y,RingPosL4.z,PinkyPosL1.x,PinkyPosL1.y,PinkyPosL1.z,PinkyPosL2.x,PinkyPosL2.y,PinkyPosL2.z,PinkyPosL3.x,PinkyPosL3.y,PinkyPosL3.z,PinkyPosL4.x,PinkyPosL4.y,PinkyPosL4.z
0.0774,357.2588,8.355103,347.2192,-0.46175,-0.1361767,0.594717,-1.088963,-0.09837128,0.6153823,-1.578342,-0.5569034,0.1791995,-1.244923,-0.8588459,-0.217867,-1.735197,0.2609789,0.6992149,-2.350382,0.1742463,0.9590053,-2.776464,-0.03266051,1.137184,-3.090185,-0.278013,1.267265,-1.738525,0.2198636,0.2462213,-2.533766,0.05706463,0.3708938,-3.007853,-0.2882824,0.4572336,-3.264511,-0.6206495,0.5110125,-1.683451,0.1306105,-0.1576354,-2.436928,-0.01631949,-0.1638477,-2.887602,-0.3220094,-0.1488735,-3.185179,-0.6712072,-0.1263418,-1.555159,-0.007681763,-0.5077553,-2.192345,-0.04115376,-0.6306794,-2.887602,-0.3220094,-0.1488735,-3.185179,-0.6712072,-0.1263418
0.0800,357.2588,8.355103,347.2192,-0.46175,-0.1361767,0.594717,-1.088963,-0.09837128,0.6153823,-1.578342,-0.5569034,0.1791995,-1.244923,-0.8588459,-0.217867,-1.735197,0.2609789,0.6992149,-2.350382,0.1742463,0.9590053,-2.776464,-0.03266051,1.137184,-3.090185,-0.278013,1.267265,-1.738525,0.2198636,0.2462213,-2.533766,0.05706463,0.3708938,-3.007853,-0.2882824,0.4572336,-3.264511,-0.6206495,0.5110125,-1.683451,0.1306105,-0.1576354,-2.436928,-0.01631949,-0.1638477,-2.887602,-0.3220094,-0.1488735,-3.185179,-0.6712072,-0.1263418,-1.555159,-0.007681763,-0.5077553,-2.192345,-0.04115376,-0.6306794,-2.887602,-0.3220094,-0.1488735,-3.185179,-0.6712072,-0.1263418
0.0826,357.2588,8.355103,347.2192,-0.46175,-0.1361767,0.594717,-1.088963,-0.09837128,0.6153823,-1.578342,-0.5569034,0.1791995,-1.244923,-0.8588459,-0.217867,-1.735197,0.2609789,0.6992149,-2.350382,0.1742463,0.9590053,-2.776464,-0.03266051,1.137184,-3.090185,-0.278013,1.267265,-1.738525,0.2198636,0.2462213,-2.533766,0.05706463,0.3708938,-3.007853,-0.2882824,0.4572336,-3.264511,-0.6206495,0.5110125,-1.683451,0.1306105,-0.1576354,-2.436928,-0.01631949,-0.1638477,-2.887602,-0.3220094,-0.1488735,-3.185179,-0.6712072,-0.1263418,-1.555159,-0.007681763,-0.5077553,-2.192345,-0.04115376,-0.6306794,-2.887602,-0.3220094,-0.1488735,-3.185179,-0.6712072,-0.1263418
0.0848,357.2367,8.298584,347.2548,-0.4622278,-0.1363129,0.5943149,-1.089468,-0.09884875,0.6147442,-1.578451,-0.5578785,0.17864,-1.245152,-0.860104,-0.2183131,-1.736038,0.2600191,0.6974787,-2.351595,0.174516,0.9567999,-2.778509,-0.03065368,1.134993,-3.093447,-0.274271,1.265398,-1.738907,0.2187694,0.2444942,-2.534258,0.05595793,0.3684446,-3.008612,-0.2891019,0.4544644,-3.265631,-0.6212049,0.508152,-1.683386,0.1294355,-0.1592836,-2.436836,-0.0176041,-0.16621,-2.887644,-0.3231164,-0.1516268,-3.185501,-0.6720891,-0.1293265,-1.554667,-0.008872822,-0.5092403,-2.191713,-0.04280161,-0.6327648,-2.887644,-0.3231164,-0.1516268,-3.185501,-0.6720891,-0.1293265
0.0877,357.2367,8.298584,347.2548,-0.4622278,-0.1363129,0.5943149,-1.089468,-0.09884875,0.6147442,-1.578451,-0.5578785,0.17864,-1.245152,-0.860104,-0.2183131,-1.736038,0.2600191,0.6974787,-2.351595,0.174516,0.9567999,-2.778509,-0.03065368,1.134993,-3.093447,-0.274271,1.265398,-1.738907,0.2187694,0.2444942,-2.534258,0.05595793,0.3684446,-3.008612,-0.2891019,0.4544644,-3.265631,-0.6212049,0.508152,-1.683386,0.1294355,-0.1592836,-2.436836,-0.0176041,-0.16621,-2.887644,-0.3231164,-0.1516268,-3.185501,-0.6720891,-0.1293265,-1.554667,-0.008872822,-0.5092403,-2.191713,-0.04280161,-0.6327648,-2.887644,-0.3231164,-0.1516268,-3.185501,-0.6720891,-0.1293265
0.0908,357.2367,8.298584,347.2548,-0.4622278,-0.1363129,0.5943149,-1.089468,-0.09884875,0.6147442,-1.578451,-0.5578785,0.17864,-1.245152,-0.860104,-0.2183131,-1.736038,0.2600191,0.6974787,-2.351595,0.174516,0.9567999,-2.778509,-0.03065368,1.134993,-3.093447,-0.274271,1.265398,-1.738907,0.2187694,0.2444942,-2.534258,0.05595793,0.3684446,-3.008612,-0.2891019,0.4544644,-3.265631,-0.6212049,0.508152,-1.683386,0.1294355,-0.1592836,-2.436836,-0.0176041,-0.16621,-2.887644,-0.3231164,-0.1516268,-3.185501,-0.6720891,-0.1293265,-1.554667,-0.008872822,-0.5092403,-2.191713,-0.04280161,-0.6327648,-2.887644,-0.3231164,-0.1516268,-3.185501,-0.6720891,-0.1293265
0.0935,357.2367,8.298584,347.2548,-0.4622278,-0.1363129,0.5943149,-1.089468,-0.09884875,0.6147442,-1.578451,-0.5578785,0.17864,-1.245152,-0.860104,-0.2183131,-1.736038,0.2600191,0.6974787,-2.351595,0.174516,0.9567999,-2.778509,-0.03065368,1.134993,-3.093447,-0.274271,1.265398,-1.738907,0.2187694,0.2444942,-2.534258,0.05595793,0.3684446,-3.008612,-0.2891019,0.4544644,-3.265631,-0.6212049,0.508152,-1.683386,0.1294355,-0.1592836,-2.436836,-0.0176041,-0.16621,-2.887644,-0.3231164,-0.1516268,-3.185501,-0.6720891,-0.1293265,-1.554667,-0.008872822,-0.5092403,-2.191713,-0.04280161,-0.6327648,-2.887644,-0.3231164,-0.1516268,-3.185501,-0.6720891,-0.1293265
0.0958,357.2367,8.298584,347.2548,-0.4622278,-0.1363129,0.5943149,-1.089468,-0.09884875,0.6147442,-1.578451,-0.5578785,0.17864,-1.245152,-0.860104,-0.2183131,-1.736038,0.2600191,0.6974787,-2.351595,0.174516,0.9567999,-2.778509,-0.03065368,1.134993,-3.093447,-0.274271,1.265398,-1.738907,0.2187694,0.2444942,-2.534258,0.05595793,0.3684446,-3.008612,-0.2891019,0.4544644,-3.265631,-0.6212049,0.508152,-1.683386,0.1294355,-0.1592836,-2.436836,-0.0176041,-0.16621,-2.887644,-0.3231164,-0.1516268,-3.185501,-0.6720891,-0.1293265,-1.554667,-0.008872822,-0.5092403,-2.191713,-0.04280161,-0.6327648,-2.887644,-0.3231164,-0.1516268,-3.185501,-0.6720891,-0.1293265
0.0981,357.198,8.144637,347.3054,-0.463665,-0.1364399,0.5931649,-1.09095,-0.09937182,0.6129444,-1.579226,-0.558874,0.1765463,-1.246506,-0.8617609,-0.2203881,-1.738129,0.2587112,0.6927451,-2.354488,0.1745344,0.9505881,-2.782579,-0.02870581,1.128167,-3.099045,-0.2703784,1.258491,-1.739759,0.2172137,0.2397771,-2.535404,0.05431485,0.3617008,-3.01018,-0.2904197,0.4466932,-3.267696,-0.6222069,0.499952,-1.683084,0.1277154,-0.1638038,-2.436468,-0.01955363,-0.1726887,-2.887428,-0.3248912,-0.1591956,-3.185633,-0.6736091,-0.1375572,-1.553305,-0.01065725,-0.5133437,-2.189999,-0.04500875,-0.6385677,-2.887428,-0.3248912,-0.1591956,-3.185633,-0.6736091,-0.1375572
0.1053,357.2256,8.410538,347.3182,-0.4608803,-0.136812,0.5952458,-1.088146,-0.100163,0.616361,-1.577003,-0.5603681,0.1813559,-1.243109,-0.8622137,-0.2153861,-1.734926,0.2580938,0.7009543,-2.350279,0.1756029,0.9617298,-2.778467,-0.02538057,1.141629,-3.095791,-0.2648226,1.273965,-1.738657,0.2168261,0.2479778,-2.533831,0.05435507,0.3735072,-3.008678,-0.2897626,0.4605734,-3.266562,-0.6210845,0.5149338,-1.683847,0.1275413,-0.1559079,-2.437317,-0.01945513,-0.1613978,-2.888474,-0.3244103,-0.1460094,-3.186998,-0.6727813,-0.1232075,-1.555674,-0.01063389,-0.5061181,-2.19294,-0.04490806,-0.6284109,-2.888474,-0.3244103,-0.1460094,-3.186998,-0.6727813,-0.1232075
